id,state,gender,median_home_val,hvp1,pobc1,pobc2,avggift,target_d,median_household_income,ic2,ic3,ic4,ic5
144021,CA,F,1590,25,57,34,13,15.0,240,238.0,262,257.0,7559
93356,IL,F,613,0,1,60,11,25.0,212,245.0,294,355.0,11792
24711,SC,F,477,0,1,80,5,10.0,256,282.0,292,316.0,10621
74914,IA,F,424,0,1,78,4,6.0,192,256.0,230,256.0,9497
6909,CO,M,383,0,0,78,13,15.0,252,256.0,359,380.0,14045
124543,TX,M,688,0,0,84,11,18.0,422,466.0,457,490.0,16561
163018,CA,M,3500,57,36,28,15,24.0,351,260.0,463,407.0,26034
190671,CA,,2143,63,29,36,9,14.0,280,353.0,328,373.0,12935
33356,FL,F,625,3,1,47,14,20.0,246,466.0,362,536.0,19102
151600,Cali,M,1560,5,22,38,15,21.0,500,488.0,487,485.0,13816
21259,NC,female,716,1,2,66,12,15.0,146,339.0,227,382.0,11136
128987,TX,F,1247,17,16,50,26,41.0,215,313.0,350,444.0,16891
108926,LA,M,611,1,4,52,15,20.0,265,323.0,302,337.0,12313
154709,Cali,F,1431,24,18,48,13,5.0,291,390.0,315,376.0,10498
108050,LA,F,1089,1,2,64,5,16.0,431,520.0,480,538.0,16777
187274,IA,F,435,0,2,76,15,15.0,244,298.0,281,329.0,10692
171655,Cali,F,1409,21,3,57,12,12.0,321,405.0,377,428.0,15611
160488,OR,M,647,0,6,34,9,10.0,369,422.0,401,463.0,18492
21305,NC,M,415,0,0,86,8,10.0,199,308.0,242,300.0,11449
98470,IL,F,492,0,3,85,8,14.0,172,384.0,276,399.0,13218
140586,TX,M,1043,13,2,70,13,20.0,610,682.0,731,788.0,49744
158101,Cali,M,3668,97,10,44,15,15.0,690,693.0,781,780.0,32964
150043,Cali,M,3491,94,18,44,20,20.0,791,828.0,853,903.0,32718
96251,IL,F,192,0,3,89,5,10.0,164,211.0,186,224.0,7361
188547,Cali,M,0,0,0,0,20,25.0,0,0.0,0,0.0,0
180617,WA,male,824,10,7,52,7,11.0,225,308.0,293,383.0,13090
86000,SD,F,428,0,2,62,11,10.0,205,318.0,245,309.0,11192
13265,AL,F,417,0,0,64,7,11.0,122,283.0,160,250.0,9715
71,TN,F,399,0,0,85,6,16.0,307,315.0,336,352.0,11428
148969,Cali,F,2377,85,13,53,9,10.0,633,637.0,652,663.0,19545
156324,Cali,,2016,51,11,53,8,15.0,431,465.0,459,497.0,17882
130976,CO,F,933,0,6,42,8,7.0,289,332.0,349,379.0,14104
140141,NM,F,619,4,2,50,12,14.0,215,222.0,260,268.0,10427
85416,Cali,F,3303,94,13,45,14,25.0,533,568.0,586,614.0,24251
108150,LA,F,960,0,10,57,15,20.0,479,526.0,548,613.0,19518
129823,CO,M,1236,13,2,29,6,10.0,622,630.0,727,737.0,25882
104413,AZ,M,473,1,6,23,5,6.0,164,179.0,207,215.0,9819
60512,IL,,1055,0,8,74,20,25.0,366,462.0,379,400.0,11289
90480,IL,F,1509,19,7,75,9,11.0,545,617.0,599,680.0,23170
148911,Cali,F,1953,47,11,47,15,10.0,454,526.0,478,564.0,21667
52990,TN,M,927,1,1,56,5,26.0,299,322.0,372,410.0,14428
148022,Cali,F,2098,56,56,25,6,10.0,305,311.0,352,368.0,13564
147406,Cali,M,5209,99,7,47,30,38.0,1054,1220.0,1058,1128.0,52654
103468,MO,F,476,0,1,74,7,15.0,219,280.0,272,319.0,10966
84100,MN,M,1515,17,6,63,14,14.0,648,684.0,717,781.0,25787
137548,AZ,M,2158,54,7,12,7,9.0,411,516.0,535,640.0,33235
6932,MO,M,1110,5,2,58,7,10.0,460,544.0,538,624.0,21875
37118,FL,,581,0,19,53,9,15.0,349,361.0,359,373.0,9667
109179,LA,M,563,3,1,90,10,14.0,259,301.0,308,342.0,10726
140642,NM,F,740,2,9,26,5,5.0,240,288.0,294,324.0,10701
77057,IA,F,516,0,2,75,12,15.0,332,378.0,347,379.0,13293
83131,MN,M,575,0,0,86,10,20.0,249,282.0,290,316.0,9843
168078,Cali,M,2357,81,26,55,13,19.0,511,540.0,570,609.0,23786
32975,SC,M,645,0,3,15,10,25.0,304,360.0,306,376.0,6826
37472,FL,M,825,0,63,21,20,20.0,233,239.0,290,301.0,9747
63113,IN,M,531,0,2,70,5,5.0,246,278.0,272,290.0,10423
57039,KY,F,195,0,0,94,4,5.0,131,148.0,159,179.0,5727
58786,KY,F,423,0,0,82,6,20.0,293,297.0,274,279.0,10343
164306,Cali,F,2725,83,9,51,15,30.0,629,684.0,662,734.0,24424
113129,OK,F,359,0,0,64,20,20.0,220,247.0,270,299.0,13024
19094,CT,F,1373,2,5,71,28,40.0,472,463.0,504,517.0,17363
102224,NJ,J,1439,3,15,61,6,6.0,370,414.0,417,464.0,13353
155375,Cali,F,889,0,7,68,5,6.0,398,488.0,450,495.0,13782
185030,FL,M,824,0,15,7,10,10.0,248,274.0,288,326.0,15008
149887,Cali,M,1993,49,15,53,10,15.0,442,472.0,484,520.0,16427
117216,TX,F,618,0,9,75,10,30.0,233,310.0,302,394.0,12864
167892,Cali,F,3259,83,17,49,7,10.0,267,626.0,508,591.0,19399
107618,NE,F,151,0,0,68,2,2.0,180,208.0,230,273.0,9138
72410,MI,M,492,0,1,55,14,20.0,272,370.0,317,402.0,14442
112319,AR,Female,892,5,2,21,17,30.0,380,406.0,426,468.0,19444
28061,GA,F,948,1,2,65,5,5.0,531,530.0,585,584.0,19537
108371,LA,F,717,0,21,62,24,20.0,190,313.0,235,302.0,10888
187807,MI,M,612,1,1,27,12,22.0,330,326.0,392,400.0,13162
180383,WA,F,919,1,5,56,8,11.0,338,337.0,349,346.0,12507
183013,WA,male,697,0,3,34,10,11.0,317,364.0,337,406.0,13561
187769,Cali,M,5059,99,10,48,10,25.0,693,752.0,751,847.0,29368
191056,Cali,M,5667,98,11,35,28,47.0,492,808.0,594,848.0,51280
151891,Cali,F,2750,91,10,44,11,15.0,668,701.0,717,781.0,26199
5822,KS,F,513,0,3,66,6,11.0,400,434.0,436,482.0,20842
164969,Cali,F,1848,33,28,49,5,7.0,505,515.0,560,581.0,19729
172846,Cali,M,1417,18,29,49,14,10.0,406,341.0,519,508.0,18590
95951,IL,F,347,0,6,74,8,20.0,210,255.0,229,286.0,10356
18089,NC,M,994,2,1,70,13,25.0,404,475.0,485,530.0,17420
35276,FL,,3542,76,3,31,6,10.0,642,690.0,807,843.0,53131
18607,NC,M,797,2,0,74,7,23.0,377,418.0,423,451.0,16163
61275,IN,M,791,1,1,74,7,12.0,361,407.0,390,428.0,13805
36141,FL,F,957,16,5,17,15,10.0,408,399.0,450,459.0,17718
85716,MN,F,357,0,1,78,25,25.0,164,214.0,215,254.0,8443
154195,Cali,F,896,2,7,46,20,20.0,336,362.0,389,418.0,14513
46755,AL,F,402,0,1,86,4,5.0,232,249.0,276,300.0,10540
13239,FL,M,3083,52,26,3,2,3.0,166,270.0,233,332.0,16019
86068,SD,F,460,0,1,69,9,5.0,247,357.0,300,372.0,11245
67900,MI,M,294,0,2,80,17,20.0,279,355.0,391,404.0,10385
59610,IN,F,1199,2,0,69,10,15.0,547,556.0,597,605.0,20694
13378,CA,F,1125,15,10,51,5,7.0,280,336.0,305,362.0,10857
20752,NC,M,974,3,2,32,8,13.0,252,279.0,300,330.0,13321
30934,GA,M,316,0,0,79,12,15.0,213,238.0,254,280.0,8956
102163,MO,F,825,1,4,49,25,30.0,401,463.0,464,555.0,28003
128976,TX,F,642,0,12,35,6,10.0,271,284.0,306,312.0,9453
44088,IN,M,1263,21,4,58,7,10.0,468,517.0,548,601.0,26265
154931,CA,F,1809,35,12,44,8,10.0,454,466.0,503,543.0,15886
87939,IL,M,5294,96,12,57,13,30.0,1035,1165.0,1012,1065.0,60053
140779,NV,F,1161,5,8,14,5,6.0,448,484.0,536,570.0,20691
113838,OK,F,295,0,1,62,6,8.0,150,203.0,195,248.0,8962
156568,CA,,3020,95,4,46,40,75.0,756,765.0,809,823.0,26135
130485,CO,F,431,0,3,32,8,16.0,258,342.0,386,541.0,25828
101803,MO,F,544,0,1,71,11,25.0,264,283.0,326,340.0,16194
41899,FL,M,618,2,7,22,7,10.0,223,278.0,278,335.0,13341
30795,GA,M,323,2,0,77,5,10.0,183,207.0,201,210.0,7139
133256,ID,M,1104,7,3,50,13,10.0,511,528.0,534,566.0,17366
151203,CA,U,2135,58,10,55,8,5.0,417,417.0,433,456.0,18907
31425,GA,M,671,3,4,70,4,16.0,287,365.0,372,441.0,16517
70524,MI,F,510,0,1,80,10,23.0,228,370.0,324,394.0,12576
161229,CA,F,650,13,43,49,8,21.0,302,302.0,315,318.0,7080
83181,MN,F,487,0,1,88,12,15.0,248,287.0,286,327.0,10792
143528,CA,F,2925,83,27,21,7,10.0,288,305.0,353,376.0,23046
42970,FL,M,884,1,6,6,4,3.0,242,268.0,271,313.0,13491
83708,MN,F,753,0,1,80,8,10.0,341,393.0,373,442.0,15502
101390,MO,F,594,1,0,79,2,2.0,337,350.0,343,347.0,13094
77898,WI,male,627,0,6,71,7,10.0,367,427.0,394,444.0,15350
77345,WI,male,806,0,1,85,13,16.0,331,420.0,382,447.0,15120
142579,CA,F,3149,80,8,33,10,20.0,504,601.0,562,672.0,22033
162209,CA,F,5266,96,17,36,9,10.0,495,675.0,669,785.0,43828
171396,CA,M,1401,1,6,49,5,6.0,441,445.0,462,466.0,15438
129530,CO,M,593,0,8,33,12,10.0,163,180.0,207,230.0,9520
33773,FL,F,915,13,8,19,13,20.0,308,357.0,367,438.0,17783
10031,NE,F,456,2,2,75,7,10.0,258,311.0,314,381.0,13411
62056,IN,M,610,0,0,86,4,7.0,319,336.0,384,407.0,11815
11494,FL,M,1229,21,2,30,8,5.0,469,502.0,507,544.0,17313
44847,FL,M,428,1,7,35,9,10.0,140,196.0,171,208.0,9064
94851,IL,F,2333,61,18,45,7,10.0,316,643.0,420,744.0,33535
15668,NC,M,707,0,0,84,9,45.0,383,400.0,398,433.0,13852
175579,OR,F,377,0,16,42,16,20.0,171,199.0,219,187.0,21980
150534,CA,U,1624,13,38,47,5,4.0,380,382.0,407,408.0,9685
68441,MI,F,348,0,0,71,27,30.0,184,269.0,264,316.0,11686
157185,CA,F,1878,35,8,62,6,5.0,523,526.0,564,566.0,16084
90816,IL,F,777,0,6,84,17,20.0,378,386.0,396,423.0,14106
94915,IL,F,1463,8,26,60,12,15.0,117,439.0,266,523.0,13344
118392,TX,M,375,0,1,84,5,12.0,153,214.0,206,248.0,7798
187571,IN,,561,1,0,60,19,26.0,302,301.0,323,331.0,10873
21659,NC,M,502,1,0,85,7,10.0,199,250.0,229,261.0,8726
157672,CA,M,4206,93,19,36,12,10.0,789,804.0,834,850.0,37411
64166,IN,M,800,4,7,60,16,23.0,283,398.0,338,425.0,15160
185304,CO,M,1472,27,3,24,15,21.0,625,653.0,687,732.0,27469
57963,KY,F,492,3,0,71,8,10.0,332,450.0,425,471.0,21410
98249,IL,F,609,1,0,92,6,10.0,314,347.0,349,385.0,11360
153689,CA,F,2430,85,11,42,9,20.0,604,610.0,659,669.0,20529
157807,CA,M,2559,84,13,51,10,16.0,581,591.0,614,651.0,21559
41715,FL,,696,7,7,22,3,3.0,272,357.0,358,427.0,16474
45356,FL,M,762,7,7,13,6,8.0,254,355.0,327,411.0,17458
163506,CA,F,3556,98,9,55,15,15.0,735,701.0,838,805.0,34382
107727,NE,F,441,0,1,75,5,7.0,260,321.0,300,353.0,12452
64212,IN,F,502,0,1,80,15,20.0,319,363.0,341,388.0,12989
60252,IN,M,673,0,1,67,13,15.0,284,330.0,335,373.0,15149
45101,FL,F,1173,5,7,14,4,3.0,322,424.0,407,494.0,18738
36528,FL,F,934,1,73,17,25,25.0,323,373.0,376,400.0,9980
38820,FL,M,1332,2,14,15,9,20.0,357,411.0,422,497.0,21444
133906,ID,F,451,1,1,43,15,10.0,225,261.0,262,294.0,10244
12226,CO,F,649,0,7,60,5,8.0,238,273.0,272,302.0,10417
8696,OK,F,590,0,1,65,13,11.0,410,439.0,433,456.0,13115
119368,TX,F,500,0,6,50,11,25.0,291,316.0,314,379.0,19609
14319,FL,M,368,0,0,68,10,19.0,230,271.0,261,295.0,9547
118408,TX,M,427,0,2,86,9,15.0,315,365.0,340,377.0,11299
146585,CA,F,1458,7,40,38,4,8.0,173,191.0,220,249.0,8381
120115,TX,M,274,1,6,84,40,200.0,154,214.0,199,256.0,8881
57463,KY,F,584,0,3,62,11,10.0,274,287.0,336,341.0,15105
94394,IL,F,553,0,2,72,8,10.0,306,309.0,333,348.0,9296
155135,CA,M,903,0,8,54,6,7.0,321,406.0,358,390.0,10985
149595,CA,M,2545,80,38,37,12,17.0,361,304.0,386,358.0,14300
166606,CA,F,1778,27,21,41,39,50.0,411,480.0,439,503.0,18236
8240,CA,,1187,11,11,49,10,10.0,328,366.0,393,428.0,13978
185904,TX,F,1448,18,3,49,7,13.0,651,667.0,698,724.0,24736
49351,AL,Male,712,1,0,73,14,15.0,377,398.0,446,472.0,15013
191779,FL,M,1432,24,0,44,25,150.0,636,693.0,680,772.0,35544
169881,CA,F,2598,74,9,36,8,15.0,470,557.0,562,661.0,31631
144356,CA,F,2855,78,28,47,6,20.0,311,385.0,484,537.0,18525
186528,TX,F,535,3,8,86,9,15.0,244,437.0,317,402.0,17053
14161,WA,male,703,0,2,55,7,10.0,161,206.0,206,232.0,8860
190839,IL,M,662,1,17,60,12,15.0,352,406.0,394,456.0,13460
146269,CA,F,2973,85,39,41,7,10.0,576,591.0,624,654.0,18497
188507,CA,F,2289,66,8,61,9,10.0,631,647.0,657,679.0,22571
116251,TX,F,1274,1,4,31,6,10.0,789,798.0,804,825.0,26360
81945,WI,male,840,11,1,79,15,20.0,458,471.0,513,548.0,20327
8989,WA,F,1024,5,5,46,10,32.0,441,451.0,446,472.0,13462
47282,AL,F,558,0,2,77,7,15.0,336,354.0,382,398.0,13299
2950,MT,M,717,1,2,37,4,2.0,306,315.0,333,358.0,11279
87771,IL,F,1667,26,8,65,13,20.0,541,603.0,592,624.0,21458
167934,WA,F,843,5,6,32,10,21.0,423,424.0,475,486.0,16476
26045,GA,F,583,5,4,22,9,14.0,360,374.0,405,434.0,24198
661,CA,M,1801,34,3,48,19,20.0,495,534.0,475,525.0,18663
47569,AL,F,863,2,3,58,9,10.0,406,527.0,459,562.0,19862
176743,OR,M,335,0,7,36,4,7.0,140,157.0,154,170.0,6682
188164,TX,,1362,8,4,63,8,10.0,575,645.0,627,718.0,21447
134364,UT,F,700,0,6,63,20,20.0,252,257.0,281,302.0,12806
93742,IL,F,562,0,24,69,20,30.0,360,480.0,388,474.0,12391
39479,FL,M,1287,7,15,35,4,4.0,479,508.0,567,616.0,20795
54142,TN,F,476,0,0,55,13,21.0,210,254.0,272,310.0,10171
168038,CA,M,5939,99,19,42,20,36.0,1214,1211.0,1080,1085.0,64833
48675,AL,F,648,0,0,77,7,5.0,353,418.0,357,453.0,16873
158980,CA,M,1862,23,25,45,17,20.0,365,372.0,401,425.0,10521
153888,CA,F,1843,34,15,29,19,10.0,515,511.0,575,582.0,23660
162300,CA,M,5190,98,10,47,9,20.0,870,892.0,871,918.0,39481
163081,CA,M,3912,98,22,32,6,7.0,351,410.0,404,454.0,19508
14000,OK,F,1537,26,2,54,11,12.0,791,783.0,916,949.0,32640
6599,WA,F,719,1,3,57,10,11.0,330,340.0,389,416.0,14248
135454,AZ,M,1074,11,2,34,8,15.0,469,472.0,510,516.0,18042
128643,TX,M,298,0,3,75,6,4.0,268,281.0,267,303.0,9838
116420,TX,M,1951,49,6,32,9,20.0,807,838.0,870,896.0,31111
35101,FL,M,1434,25,3,37,18,20.0,388,479.0,513,577.0,18405
75474,IA,M,206,0,0,86,11,15.0,229,251.0,267,288.0,9248
785,MI,M,613,0,39,42,17,18.0,146,267.0,209,349.0,13209
27624,GA,F,991,3,2,46,7,8.0,493,506.0,532,548.0,17344
73754,MI,F,900,0,3,74,13,25.0,343,420.0,386,465.0,16254
141189,NV,F,1163,7,3,26,53,25.0,468,493.0,511,548.0,18824
1544,HI,F,3260,87,19,52,13,10.0,509,542.0,552,581.0,19165
124149,TX,M,430,0,1,82,12,14.0,237,283.0,281,320.0,10269
85890,SD,F,167,0,0,85,14,20.0,214,273.0,247,290.0,9452
37005,FL,F,1380,14,8,26,7,11.0,260,325.0,299,371.0,13011
166324,CA,U,3357,73,15,33,11,19.0,284,455.0,343,447.0,24240
13448,CA,F,1518,13,64,27,5,5.0,150,171.0,208,218.0,5043
180428,WA,male,1390,12,3,63,18,20.0,426,430.0,463,470.0,15022
12517,MO,M,1224,7,2,77,2,1.0,575,577.0,608,611.0,18029
99246,IL,F,182,0,0,64,10,20.0,171,217.0,242,278.0,9240
174760,OR,F,786,1,1,59,4,5.0,419,452.0,444,466.0,15010
124379,TX,M,308,0,10,72,4,5.0,161,186.0,204,219.0,6576
176862,OR,F,1074,15,1,18,10,20.0,232,252.0,294,309.0,15070
188986,AZ,M,885,12,8,1,9,9.0,367,408.0,417,454.0,21767
148906,CA,F,2375,71,21,39,4,6.0,371,363.0,411,363.0,15361
109646,LA,M,657,3,0,87,9,10.0,265,293.0,303,325.0,12509
62295,IN,F,581,0,7,70,25,20.0,369,372.0,369,383.0,12835
162650,CA,M,3010,93,20,56,8,5.0,410,518.0,431,559.0,19149
99836,MO,M,548,0,0,96,15,21.0,262,355.0,298,342.0,12621
33994,FL,M,819,3,1,47,7,6.0,348,388.0,421,459.0,15958
93432,IL,F,613,0,1,60,6,11.0,212,245.0,294,355.0,11792
62786,IN,F,431,0,0,62,8,11.0,280,314.0,310,347.0,11052
44634,FL,M,710,6,4,30,7,10.0,254,287.0,325,391.0,15970
146914,CA,F,3673,97,10,39,6,10.0,515,675.0,589,725.0,31773
70079,MI,F,365,0,0,53,15,15.0,98,310.0,221,330.0,9470
24871,SC,F,682,2,3,63,9,16.0,366,464.0,421,498.0,14538
150660,UT,F,901,1,8,61,10,12.0,327,336.0,411,437.0,17854
169700,California,M,1676,9,6,69,5,25.0,371,336.0,398,372.0,13231
63542,IN,F,445,0,0,78,14,26.0,332,398.0,370,423.0,13662
125164,TX,F,588,0,5,85,22,50.0,316,383.0,344,381.0,14293
65634,MI,F,413,0,12,46,10,12.0,95,171.0,123,231.0,9020
59285,IN,F,522,0,1,84,12,10.0,225,349.0,326,403.0,13669
78802,WI,J,667,0,5,68,15,15.0,293,385.0,334,422.0,17527
186460,WI,F,303,0,1,76,10,20.0,175,217.0,219,253.0,7115
114579,OK,M,633,0,0,63,13,10.0,399,442.0,439,517.0,17637
23184,SC,F,391,0,0,77,14,10.0,214,243.0,242,269.0,9853
125289,TX,F,707,0,13,63,5,7.0,246,283.0,291,327.0,15322
10502,MI,M,1179,2,2,82,13,15.0,464,496.0,462,501.0,15910
46844,AL,Male,453,0,0,90,7,10.0,219,264.0,263,299.0,9654
162814,CA,M,3365,94,8,59,6,10.0,544,525.0,655,621.0,27608
89653,IL,M,1315,9,5,64,4,3.0,328,384.0,398,472.0,15767
170818,CA,F,668,0,32,39,6,10.0,187,191.0,239,240.0,6845
6147,SC,M,399,0,0,88,13,24.0,221,266.0,259,302.0,10150
14276,CA,F,3200,87,36,43,13,15.0,267,292.0,325,338.0,11115
120166,TX,F,289,0,3,83,9,12.0,171,226.0,224,283.0,9765
156817,CA,F,1796,33,48,32,20,20.0,266,271.0,334,337.0,10720
35476,FL,M,625,0,17,16,17,25.0,259,282.0,299,309.0,11072
155382,CA,F,978,6,9,50,15,30.0,290,324.0,349,381.0,13490
104049,MO,M,367,0,0,63,3,3.0,159,186.0,193,222.0,8893
112461,AR,M,376,3,0,57,9,10.0,178,195.0,231,256.0,8246
79580,WI,F,937,7,13,52,15,21.0,321,441.0,433,545.0,18567
86528,ND,F,675,1,1,81,3,3.0,272,310.0,301,358.0,13135
107658,NE,F,232,0,1,81,6,10.0,197,259.0,229,280.0,9480
69537,MI,F,545,0,2,89,8,15.0,364,382.0,400,416.0,11401
81284,WI,F,458,0,4,82,13,25.0,228,270.0,276,318.0,10731
32475,FL,M,814,3,2,52,16,20.0,271,268.0,312,324.0,10488
104505,KS,F,671,0,0,57,10,25.0,320,340.0,349,376.0,12950
13483,WI,F,452,0,0,91,6,17.0,293,316.0,339,371.0,10979
1042,OR,M,826,7,3,34,9,8.0,314,348.0,390,426.0,14958
28337,GA,M,860,0,15,35,11,20.0,324,351.0,346,375.0,15491
67808,MI,F,185,0,8,63,8,10.0,277,283.0,312,286.0,10788
35017,FL,M,576,0,8,12,12,10.0,200,280.0,244,324.0,12518
10973,CA,M,2431,75,8,59,10,12.0,563,579.0,655,660.0,24290
67030,MI,M,388,0,2,70,33,50.0,364,410.0,413,433.0,12601
122279,TX,F,1680,20,7,36,5,5.0,884,878.0,943,935.0,27875
18802,NC,M,1128,3,2,67,14,20.0,409,467.0,442,481.0,15936
90092,IL,F,916,0,7,82,18,10.0,434,421.0,458,457.0,12450
98821,IL,F,340,0,3,78,9,10.0,185,228.0,235,275.0,10719
116186,TX,M,711,1,1,76,11,10.0,322,353.0,360,378.0,12630
18359,NC,female,412,0,0,94,6,10.0,215,259.0,271,315.0,9706
128970,TX,F,893,2,6,57,9,14.0,443,463.0,508,527.0,17519
172635,CA,M,644,3,8,57,11,16.0,191,222.0,243,272.0,9569
106508,KS,F,440,0,9,41,12,20.0,219,261.0,260,288.0,10985
81067,WI,F,363,0,2,67,15,15.0,76,127.0,115,158.0,9086
169106,California,F,1745,20,9,80,8,5.0,397,512.0,485,521.0,18427
106898,NE,F,672,0,2,58,6,5.0,302,416.0,348,449.0,14981
24747,SC,F,1419,16,4,26,9,15.0,661,697.0,700,741.0,23212
144906,California,U,3781,95,10,46,20,20.0,494,609.0,543,606.0,22770
40516,FL,F,1938,48,2,4,12,21.0,483,787.0,629,807.0,47363
172530,California,F,1495,22,4,57,5,7.0,323,334.0,348,351.0,14923
72438,MI,M,561,0,1,89,8,10.0,351,353.0,368,373.0,13150
144076,California,M,5980,99,27,41,38,50.0,1500,1500.0,1124,1217.0,94863
130609,CO,M,1412,14,3,46,12,16.0,499,601.0,538,606.0,24758
43974,FL,M,1869,44,6,9,3,5.0,452,542.0,553,640.0,29990
32709,FL,F,556,0,4,39,13,15.0,229,272.0,258,280.0,12960
187298,SC,,1015,0,14,40,7,10.0,478,500.0,516,533.0,17763
50905,TN,F,736,1,1,61,8,16.0,331,390.0,379,432.0,16926
55552,MS,M,363,0,0,91,8,20.0,156,193.0,214,244.0,7079
28550,GA,F,803,0,9,51,11,15.0,423,512.0,467,508.0,19029
158460,California,F,1818,28,35,36,13,15.0,258,316.0,299,350.0,10324
56449,KY,F,640,0,0,82,6,5.0,381,414.0,403,450.0,15499
133315,WA,F,698,1,1,34,8,10.0,355,377.0,393,416.0,13184
164251,California,F,1449,4,6,46,15,5.0,378,439.0,395,470.0,16190
149626,NV,,1557,17,5,6,10,10.0,290,311.0,342,361.0,13837
123805,TX,F,518,1,4,70,4,7.0,223,256.0,273,302.0,10041
156077,California,F,1180,9,20,40,9,15.0,232,248.0,277,307.0,7582
183858,WA,male,511,0,2,56,16,25.0,268,309.0,317,354.0,12388
164217,California,M,2869,74,6,46,14,25.0,630,668.0,686,745.0,24945
169973,California,F,1514,17,3,53,11,15.0,325,451.0,439,517.0,18572
15066,NC,female,444,0,0,87,8,10.0,260,296.0,288,341.0,11387
64467,IN,F,444,0,1,39,12,12.0,270,318.0,310,364.0,13896
133814,ID,M,654,3,2,32,18,25.0,250,306.0,312,366.0,13433
31852,FL,F,985,0,3,25,15,26.0,480,495.0,487,506.0,15195
82610,MN,J,280,0,0,86,3,5.0,249,282.0,277,304.0,10337
34319,FL,M,714,0,5,30,50,25.0,390,465.0,437,507.0,18391
152527,California,F,1854,37,9,50,23,23.0,289,377.0,339,402.0,11567
178290,WA,male,0,0,0,0,5,6.0,0,0.0,0,0.0,0
153818,California,F,2780,86,5,14,9,10.0,574,587.0,653,677.0,29871
152641,California,F,1538,1,11,43,30,50.0,319,305.0,349,351.0,11046
161691,California,F,1528,8,17,51,19,25.0,327,358.0,370,391.0,13190
